mnemonic,all_households,owned_households,percent_owned
E05014327,3266,1925,58.9
E05014257,3583,2492,69.6
E05014258,3545,2417,68.2
E05014259,3322,2479,74.6
E05014267,3358,2160,64.3
E05014273,3632,2296,63.2
E05014278,3517,2663,75.7
E05014279,3858,2250,58.3
E05014286,3741,2661,71.1
E05014288,3385,2523,74.5
E05014289,3648,2763,75.7
E05014292,3338,2415,72.3
E05014302,3177,2680,84.4
E05014304,2327,1792,77
E05014305,2462,1818,73.8
E05014308,3682,2434,66.1
E05014309,3603,2306,64
E05014323,2676,2043,76.3
E05014324,3423,2793,81.6
E05014331,4549,2288,50.3
E05014332,2756,2179,79.1
E05014333,3594,2454,68.3
E05014263,2689,1788,66.5
E05014280,3434,1535,44.7
E05014290,2668,1787,67
E05014297,3399,2477,72.9
E05014307,3881,2582,66.5
E05014312,2365,1530,64.7
E05014330,2508,1793,71.5
E05014252,2314,1648,71.2
E05014281,2413,1546,64.1
E05014287,2973,2078,69.9
E05014291,2904,1751,60.3
E05014300,3622,2312,63.8
E05014306,3484,2419,69.4
E05014318,3004,2016,67.1
E05014328,3129,2189,70
E05R14284,865,541,62.5
E05014262,4240,1573,37.1
E05014265,2105,1743,82.8
E05014268,2232,1486,66.6
E05014269,2274,1738,76.4
E05014271,2973,1372,46.1
E05014272,3075,2360,76.7
E05014274,3943,2202,55.8
E05014275,3462,2339,67.6
E05014296,2722,2190,80.5
E05014301,3515,2053,58.4
E05014311,2717,2117,77.9
E05014313,2063,1718,83.3
E05014334,4163,2320,55.7
E05014336,2644,1466,55.4
E05014337,3576,2304,64.4
E05014338,3358,1921,57.2
E05S14284,2057,1568,76.2
E05014253,2463,1918,77.9
E05014254,2561,2081,81.3
E05014260,2751,2230,81.1
E05014261,2573,2097,81.5
E05014264,2374,1898,79.9
E05014266,2308,1921,83.2
E05014293,3886,2938,75.6
E05014303,2680,2057,76.8
E05014314,3603,1843,51.2
E05014315,4536,2717,59.9
E05014317,3650,2643,72.4
E05014326,3406,2319,68.1
E05014329,2773,2251,81.2
E05000976,5705,2824,49.5
E05000977,4929,3198,64.9
E05000978,4784,2967,62
E05000979,5022,3731,74.3
E05000980,4919,3682,74.9
E05000981,5311,2688,50.6
E05000982,5335,3366,63.1
E05000983,4704,3545,75.4
E05000984,5397,3294,61
E05000985,5273,2405,45.6
E05000986,5255,3056,58.2
E05000987,5766,3575,62
E05000988,4792,3123,65.2
E05000989,5006,3877,77.4
E05000990,5699,4312,75.7
E05000991,5004,3255,65
E05000992,4913,3285,66.9
E05000993,4695,2224,47.4
E05000994,5578,3133,56.2
E05000995,5568,3267,58.7
E05000996,4399,2545,57.9
E05010728,6964,3951,56.7
E05010729,6214,4177,67.2
E05010730,4149,2405,58
E05010731,8185,4621,56.5
E05010732,6587,4582,69.6
E05010733,7160,4171,58.3
E05010734,4490,3475,77.4
E05010735,5318,3308,62.2
E05010736,7424,6061,81.6
E05010737,6530,4787,73.3
E05010738,5348,2145,40.1
E05010739,7034,3639,51.7
E05010740,6557,4578,69.8
E05010741,4786,3433,71.7
E05010742,7781,5287,67.9
E05010743,4733,3930,83
E05010744,4229,2606,61.6
E05010745,7754,4700,60.6
E05010746,4861,3777,77.7
E05010747,9936,4049,40.8
E05010748,7441,4206,56.5
E05012993,5220,4255,81.5
E05012994,4050,3352,82.8
E05012995,3517,2445,69.5
E05012996,6100,3036,49.8
E05012997,3772,3003,79.6
E05012998,4133,3103,75.1
E05012999,3992,1776,44.5
E05013000,5365,3504,65.3
E05013001,3955,1840,46.5
E05013002,3412,2730,80
E05013003,5376,3455,64.3
E05013004,5880,3789,64.4
E05013005,3460,2476,71.6
E05013006,4113,2165,52.6
E05013007,4201,2258,53.7
E05013008,4130,2475,59.9
E05013009,3484,2419,69.4
E05013010,6627,2625,39.6
E05013011,6218,3431,55.2
E05013012,5257,4273,81.3
E05013013,3723,2404,64.6
E05013014,4339,3042,70.1
E05013015,4061,2788,68.7
E05013016,4018,2230,55.5
E05013017,5521,3621,65.6
E05010857,8988,4995,55.6
E05010858,7679,5666,73.8
E05010859,7342,4831,65.8
E05010860,8067,2817,34.9
E05010861,9457,3750,39.7
E05010862,6898,1138,16.5
E05010863,7204,4789,66.5
E05010864,7698,3950,51.3
E05010865,8118,6849,84.4
E05010866,8030,6031,75.1
E05010867,8096,7097,87.7
E05010868,9064,3650,40.3
E05010869,6271,5042,80.4
E05010870,9308,4708,50.6
E05010871,7643,5796,75.8
E05010872,8759,5537,63.2
E05010873,9572,3195,33.4
E05010874,7845,5479,69.8
E05010875,9410,4470,47.5
E05010876,8299,3866,46.6
E05010877,8376,5340,63.8
E05010878,8567,4375,51.1
E05010879,8850,4275,48.3
