mnemonic,percent_1parent
E05000973,10.7
E05000974,4.9
E05000975,4.7
E05011525,6.1
E05011526,4.7
E05011527,6.1
E05011528,6.5
E05011529,7.2
E05011530,8.2
E05011531,6.9
E05011532,6.1
E05011533,7.1
E05011534,6.9
E05011535,12.8
E05011536,17
E05011537,10.6
E05011538,14.1
E05011539,14.8
E05011540,8.5
E05011541,8.1
E05011542,9.5
E05011543,6.8
E05011544,10.1
E05011545,9.8
E05001687,3.9
E05001688,8.4
E05001689,3.4
E05001690,7.4
E05001691,3.4
E05001692,4.7
E05001693,4.8
E05001694,5.2
E05001695,3.8
E05001696,7.3
E05001697,10
E05001698,6.5
E05001699,3.7
E05001700,4
E05001701,3.6
E05001702,6.6
E05001703,5
E05001704,4.9
E05001705,4.6
E05001706,5
E05001707,5.4
E05001708,4.3
E05001709,5.4
E05001710,6.1
E05001711,3.8
E05001712,4.6
E05001713,9.5
E05001714,15.2
E05001715,6.6
E05001716,3
E05001717,10.8
E05001718,4.7
E05001719,6.8
E05001720,7.3
E05001721,5.8
E05001722,12.5
E05001723,13.5
E05001724,4.1
E05001725,12
E05001726,4.6
E05001727,9.6
E05001728,9.4
E05001729,5
E05001730,6.6
E05001731,3.5
E05001732,6.4
E05001733,4
E05001734,4.8
E05001735,4.9
E05001736,11.7
E05001737,5.6
E05001738,5.2
E05001739,8.1
E05001740,5.1
E05001741,12
E05001742,6.3
E05001743,3.8
E05001744,6.9
E05010311,6.4
E05010312,3.4
E05010313,6.7
E05010314,4.1
E05010315,4.5
E05010316,4.3
E05010317,5.6
E05010318,4.4
E05010319,3.7
E05010320,6.7
E05010321,2.8
E05010322,6.1
E05010323,6.2
E05010324,5.5
E05010325,4.4
E05010326,4.8
E05010327,4.8
E05010328,3.7
E05010329,4.6
E05010330,9.5
E05010331,3.6
E05014250,4.5
E05014256,2.8
E05014277,5.6
E05014294,3.3
E05014316,3
E05014319,6
E05014320,3.4
E05014321,4.7
E05014335,2.3
E05014251,4
E05014255,4.3
E05014270,5.3
