mnemonic,unemployed
E05005201,2.4
E05005202,2.5
E05005203,1.5
E05005204,2.9
E05005205,2.1
E05005206,2.7
E05005207,3.7
E05005208,2.5
E05005209,5.5
E05005210,4.7
E05005211,2.8
E05005212,3
E05005213,2.6
E05005214,2.8
E05005215,3.9
E05005216,2.4
E05005217,5.3
E05005218,3.3
E05005219,2.6
E05005220,1.8
E05005221,5
E05009592,2.3
E05009593,1.3
E05009594,3.5
E05009595,1.6
E05009596,4.1
E05009597,1.5
E05009598,0.8
E05009599,4
E05009600,2.5
E05009601,4.5
E05009602,2.1
E05009603,3.5
E05009604,2
E05009605,1.1
E05009606,3.2
E05009607,1.8
E05009608,4.4
E05009609,2
E05009610,2.3
E05009611,1.6
E05009612,3.1
E05009613,3.1
E05009614,1.4
E05009615,6.4
E05009616,1.3
E05009617,1.1
E05009618,3.3
E05013200,2.5
E05013201,1.8
E05013202,1.6
E05013203,4.4
E05013204,3.3
E05013205,3.3
E05013206,2.1
E05013207,1.5
E05013208,4.3
E05013209,3.2
E05013210,3.7
E05013211,4.9
E05012193,2.9
E05012194,3.5
E05012195,2.3
E05012196,7.4
E05012197,4.7
E05012198,4.9
E05012199,1.9
E05012200,1.8
E05012201,2.7
E05012202,3.2
E05012203,7.6
E05012204,1.5
E05012205,1.4
E05012206,4
