mnemonic,percent_crowded
E05014038,4.6
E05014039,6.1
E05014040,12.5
E05014041,3.3
E05014042,23
E05014043,3.2
E05014044,2.2
E05014045,6.6
E05014046,7
E05014047,13.7
E05014048,3.9
E05014049,13.7
E05014050,3.1
E05014051,5.5
E05014052,5.4
E05013018,5.9
E05013019,10.7
E05013020,1.7
E05013021,12.3
E05013022,3.2
E05013023,5.5
E05013024,4.7
E05013025,5.3
E05013026,11
E05013027,8.6
E05013028,7.1
E05013029,7.9
E05013030,8.8
E05013031,11.4
E05013032,5.3
E05013033,4.2
E05013034,5.7
E05013035,3.1
E05013036,8.4
E05013037,4
E05000779,1.6
E05000780,1.5
E05000781,3.4
E05000782,3.8
E05000783,7.5
E05000784,3.6
E05000785,3.3
E05000786,2.3
E05000787,4.8
E05000788,5.6
E05000789,3.8
E05000790,3.5
E05000791,4.4
E05000792,4.1
E05000793,5.1
E05000794,1.8
E05000795,2.6
E05000796,3.5
E05000797,5.5
E05000798,5.7
E05000799,1.9
E05000800,6.8
E05000801,9.5
E05000802,8.4
E05000803,6
E05000804,5.3
E05000805,6.4
E05000806,3.4
E05000807,6
E05000808,5.6
E05000809,6.3
E05000810,4.3
E05000811,7.6
E05000812,5.5
E05000813,8.2
E05000814,5.6
E05000815,4
E05000816,12.5
E05000817,6.3
E05000818,3.8
E05000819,4.5
E05000820,2.8
E05000821,2.5
E05000822,3.1
E05000823,1.6
E05000824,4.2
E05000825,11.3
E05000826,2
E05000827,2.6
E05000828,2.2
E05000829,6.6
E05000830,1.9
E05000831,1.5
E05000832,7.5
E05000833,4.6
E05000834,4.3
E05000835,4.4
E05000836,5.3
E05000837,0.7
E05000838,6.1
E05000839,3.3
E05000840,4.3
E05000841,2.8
E05000842,2.7
E05000843,1.9
E05000844,3.6
E05000845,5
E05000846,3.5
E05000847,4.9
E05000848,3.5
E05000849,4.9
E05000850,2.3
E05000851,6.3
E05000852,4.2
E05000853,3.2
E05000854,5.4
E05000855,2.1
E05000856,1.8
E05000857,4.9
E05000858,1.8
E05000859,2.1
E05000860,4
E05000861,3.6
E05000862,3.3
E05000863,1.6
E05000864,3.2
E05010935,4.1
E05010936,2.9
E05010937,2.9
E05010938,4
E05010939,4.5
E05010940,2.4
E05010941,3.5
E05010942,1.2
E05010943,2.9
E05010944,3.7
E05010945,3.8
E05010946,4.2
E05010947,1.2
E05010948,4.3
E05010949,3
E05000886,1.7
E05000887,4.7
E05000888,3.5
E05000889,13.5
E05000890,1.5
E05000891,1.4
E05000892,3.9
E05000893,3.3
E05000894,2.5
E05000895,3.1
E05000896,7
E05000897,3.4
E05000898,8.1
E05000899,8.7
E05000900,5.9
E05000901,2.7
E05000902,1.5
E05000903,5
E05000904,4.4
E05000905,9.3
E05000906,12.3
E05000907,13
E05000908,4
E05000909,3.7
E05000910,5
E05000911,3
E05000912,3.2
E05000913,2.1
E05000914,1.7
E05000915,3.6
E05014120,2
E05014121,3.1
E05014122,3.3
E05014123,1.4
E05014124,2.5
E05014125,2.2
E05014126,2
E05014127,3.1
E05014128,4.4
E05014129,5.6
E05014130,1.7
E05014131,2
E05014132,5.2
E05014133,3.3
E05014134,2.9
E05014135,3.1
E05014136,2.9
E05014137,2.8
E05000932,2
E05000933,3
E05000934,1.3
E05000935,4.6
E05000936,3.2
E05000937,4.5
E05000938,7.9
E05000939,4.5
E05000940,0.9
E05000941,3.8
E05000942,4.5
E05000943,2.5
E05000944,1.8
E05000945,1.6
E05000946,1.7
E05000947,3.2
E05000948,3.5
E05000949,1.3
E05000950,1.4
E05000951,3.3
E05000952,1.4
E05000953,1.5
E05000954,2.1
E05000955,3.3
E05000956,5.9
E05000957,3.1
E05000958,1
E05000959,2.7
E05000960,1.5
E05000961,0.8
E05000962,0.6
E05000963,1.4
E05000964,2.1
E05000965,2.6
E05000966,1.7
E05000967,2.7
E05000968,1.7
E05000969,1.3
E05000970,2.1
E05000971,4.3
E05000972,4.1
E05000973,2.4
E05000974,1.6
E05000975,0.7
E05011525,4.5
E05011526,5.4
E05011527,2.8
E05011528,3.2
E05011529,8.4
E05011530,3.8
E05011531,3.6
E05011532,3
E05011533,3.1
E05011534,1.8
E05011535,5.6
E05011536,7.2
E05011537,5.6
E05011538,4.9
E05011539,6.6
E05011540,3.8
E05011541,8.2
E05011542,3.3
E05011543,2.9
E05011544,7.7
E05011545,4.5
E05001687,1.2
E05001688,3.8
E05001689,1.5
E05001690,4.8
E05001691,1.4
E05001692,2.2
E05001693,1.2
E05001694,1.8
E05001695,1.6
E05001696,3.4
E05001697,5.4
E05001698,1.9
E05001699,1.5
E05001700,1.9
E05001701,1.7
E05001702,2.5
E05001703,2.7
E05001704,1.7
E05001705,1.4
E05001706,1.7
E05001707,1.9
E05001708,0.8
E05001709,1.9
E05001710,2.4
E05001711,1
E05001712,1.3
E05001713,1.8
E05001714,4.5
E05001715,2.1
E05001716,0.9
E05001717,2.1
E05001718,1.1
E05001719,2.9
E05001720,1.5
E05001721,1.6
E05001722,1.4
E05001723,2.9
E05001724,1.3
E05001725,2.2
E05001726,1.2
E05001727,1.6
E05001728,2.5
E05001729,1.9
E05001730,2.4
E05001731,1.9
E05001732,1.8
E05001733,0.9
E05001734,2
E05001735,1.4
E05001736,2.3
E05001737,2.9
E05001738,1.6
E05001739,5.1
E05001740,1.6
E05001741,2.2
E05001742,2.1
E05001743,1.5
E05001744,5.9
E05010311,3.4
E05010312,1.6
E05010313,5.9
E05010314,1
E05010315,3
E05010316,7.2
E05010317,5
E05010318,9.9
E05010319,1.8
E05010320,5.7
E05010321,1.4
E05010322,3.6
E05010323,11
E05010324,2.6
E05010325,4.2
E05010326,3.8
E05010327,2.6
E05010328,1.9
E05010329,2
E05010330,5.6
E05010331,1.6
E05014250,2.4
E05014256,1.4
E05014277,2.8
E05014294,1.7
E05014316,2.6
E05014319,2.4
E05014320,1.4
E05014321,3.8
E05014335,1.1
E05014251,0.8
E05014255,1.2
E05014270,1.9
E05014276,1.2
E05014282,1.4
E05014283,1.4
E05014285,1.2
E05014295,1
E05014298,2
E05014299,2.9
E05014310,0.9
E05014322,1.5
E05014325,1.1
E05014327,2.7
E05014257,2
E05014258,2.3
E05014259,1.8
E05014267,2.3
E05014273,3.5
E05014278,2.2
E05014279,4.4
E05014286,2
E05014288,2.6
E05014289,1.6
E05014292,1.4
E05014302,1.2
E05014304,1.5
E05014305,2.3
E05014308,4.2
E05014309,2.3
E05014323,1.7
E05014324,1.8
E05014331,5.6
E05014332,1.5
E05014333,1.3
E05014263,1.6
E05014280,3.9
E05014290,2.6
E05014297,1.5
E05014307,2.2
E05014312,2
E05014330,2.2
E05014252,1.8
E05014281,0.9
E05014287,2.3
E05014291,3.1
E05014300,3.3
E05014306,2.1
E05014318,1.6
E05014328,1.8
E05R14284,2.2
E05014262,5.6
E05014265,1.5
E05014268,2.3
E05014269,2
E05014271,6.2
E05014272,1.6
E05014274,2.8
E05014275,2
E05014296,2.6
E05014301,4.6
E05014311,1.1
E05014313,1.8
E05014334,4.2
E05014336,4.5
E05014337,2.8
E05014338,2.9
E05S14284,2.3
E05014253,1.7
E05014254,2.3
E05014260,1.5
E05014261,1.4
E05014264,1.8
E05014266,2
E05014293,1.5
E05014303,1.9
E05014314,4.7
E05014315,3.8
E05014317,1.8
E05014326,2.7
E05014329,1.9
E05000976,6.2
E05000977,3.6
E05000978,3.3
E05000979,2.4
E05000980,1.8
E05000981,4
E05000982,3.7
E05000983,2.3
E05000984,3.3
E05000985,6.5
E05000986,3.8
E05000987,3.7
E05000988,3.1
E05000989,1.3
E05000990,1.9
E05000991,3
E05000992,3.1
E05000993,5
E05000994,4.2
E05000995,3.8
E05000996,3.3
E05010728,2.2
E05010729,2.8
E05010730,3.5
E05010731,2.7
E05010732,2.1
E05010733,3
E05010734,1.6
E05010735,2.8
E05010736,1.8
E05010737,2.2
E05010738,4.9
E05010739,3.1
E05010740,2.9
E05010741,2.3
E05010742,1.9
E05010743,1.5
E05010744,2.9
E05010745,3
E05010746,1.5
E05010747,7.9
E05010748,4.3
E05012993,1.4
E05012994,1.6
