mnemonic,percent_fuel
E05000852,1.7
E05000853,1.4
E05000854,1.8
E05000855,1.2
E05000856,1
E05000857,1.3
E05000858,1.6
E05000859,0.9
E05000860,1.5
E05000861,1.2
E05000862,1.3
E05000863,0.9
E05000864,1.1
E05010935,2.4
E05010936,2.8
E05010937,1.7
E05010938,2.1
E05010939,1.7
E05010940,2.4
E05010941,1.5
E05010942,0.7
E05010943,1.5
E05010944,1.9
E05010945,1.7
E05010946,3.1
E05010947,1.6
E05010948,2.1
E05010949,1.8
E05000886,1.6
E05000887,2.9
E05000888,1.7
E05000889,4.4
E05000890,2
E05000891,1.8
E05000892,1.8
E05000893,3.3
E05000894,1.6
E05000895,1.9
E05000896,2
E05000897,2.7
E05000898,2.2
E05000899,3.4
E05000900,2.8
E05000901,1.9
E05000902,2
E05000903,1.2
E05000904,3.1
E05000905,3.2
E05000906,2.7
E05000907,3.1
E05000908,2.3
E05000909,1.9
E05000910,3.6
E05000911,2.8
E05000912,2.2
E05000913,1.6
E05000914,1.3
E05000915,1.6
E05014120,1.7
E05014121,1.4
E05014122,1.8
E05014123,1.2
E05014124,1.7
E05014125,1.2
E05014126,1.3
E05014127,1.3
E05014128,1.9
E05014129,2.3
E05014130,2.8
E05014131,1.4
E05014132,2.2
E05014133,1.5
E05014134,1.6
E05014135,1.4
E05014136,2
E05014137,1.6
E05000932,1
E05000933,1.4
E05000934,1.5
E05000935,1.9
E05000936,2.3
E05000937,2.3
E05000938,2.8
E05000939,1.7
E05000940,0.7
E05000941,2
E05000942,2.4
E05000943,2.1
E05000944,2.6
E05000945,1.1
E05000946,2.5
E05000947,1.7
E05000948,1.8
E05000949,2.5
E05000950,2.3
E05000951,2.3
E05000952,1.2
E05000953,1.7
E05000954,1.6
E05000955,2
E05000956,2.5
E05000957,1.5
E05000958,1.6
E05000959,1.7
E05000960,1.3
E05000961,1.1
E05000962,1.3
E05000963,1.1
E05000964,1.6
E05000965,2.1
E05000966,1.4
E05000967,2.2
E05000968,1.7
E05000969,1.2
E05000970,1.6
E05000971,1.7
E05000972,2.4
E05000973,1.9
E05000974,1.3
E05000975,1.2
E05011525,2.5
E05011526,2.4
E05011527,1.6
E05011528,1.6
E05011529,2.3
E05011530,1.9
E05011531,2.5
